variable,variable_role,is_binary_01,main_n_nonmissing,main_pct_nonmissing,strict_n_nonmissing,strict_pct_nonmissing,n_unique_main,preliminary_recode_decision,final_decision,reviewer_note
a_H1CO13_yesno,candidate_binary_recode,TRUE,481,14.76,478,14.75,2,review_high_missingness,,
a_H1CO16A_yesno,candidate_binary_recode,TRUE,1763,54.1,1753,54.1,2,binary_recode_usable_after_codebook_check,,
a_H1CO16C_yesno,candidate_binary_recode,TRUE,1764,54.13,1753,54.1,2,binary_recode_usable_after_codebook_check,,
a_H1CO16D_yesno,candidate_binary_recode,TRUE,1764,54.13,1753,54.1,2,binary_recode_usable_after_codebook_check,,
a_H1CO3_yesno,candidate_binary_recode,TRUE,1756,53.88,1746,53.89,2,binary_recode_usable_after_codebook_check,,
a_H1CO6_yesno,candidate_binary_recode,TRUE,1749,53.67,1738,53.64,2,binary_recode_usable_after_codebook_check,,
a_H1CO8_yesno,candidate_binary_recode,TRUE,402,12.34,398,12.28,2,review_high_missingness,,
a_H1CO9_yesno,candidate_binary_recode,FALSE,0,0,0,0,0,exclude_or_review_too_few_cases,,
a_H1FP7_yesno,candidate_binary_recode,TRUE,896,27.49,892,27.53,2,review_high_missingness,,
a_H1FP8_yesno,candidate_binary_recode,FALSE,0,0,0,0,0,exclude_or_review_too_few_cases,,
a_H1HS9_yesno,candidate_binary_recode,TRUE,3255,99.88,3237,99.91,2,binary_recode_usable_after_codebook_check,,
a_sex_ever,candidate_outcome,TRUE,3226,98.99,3208,99.01,2,binary_recode_usable_after_codebook_check,,
a_age_wave1,core_covariate,FALSE,3259,100,3240,100,8,core_variable_usable,,
a_female,core_covariate,TRUE,3259,100,3240,100,1,core_variable_usable,,
a_grade_wave1,core_covariate,FALSE,3259,100,3240,100,3,core_variable_usable,,
a_main_sample_grade_10_12,sample_definition_variable,TRUE,3259,100,3240,100,1,core_variable_usable,,
a_sample_age_15_19,sample_definition_variable,TRUE,3259,100,3240,100,2,core_variable_usable,,
a_sample_grade_10_12,sample_definition_variable,TRUE,3259,100,3240,100,1,core_variable_usable,,
a_strict_sample_grade_age,sample_definition_variable,TRUE,3259,100,3240,100,2,core_variable_usable,,
