outcome,model_stage,n_coefficients_compared,n_same_direction,share_same_direction,n_robust_significant_same_direction,n_partially_robust_same_direction,n_direction_changes_or_unstable,robustness_summary
a_H1CO13_yesno,M0_core_controls,3,3,100,0,0,0,high_directional_robustness
a_H1CO13_yesno,M1_family_context,7,7,100,1,0,0,high_directional_robustness
a_H1CO13_yesno,M3_knowledge_attitudes,25,25,100,7,0,0,high_directional_robustness
a_H1CO13_yesno,M4_peers_relationships,7,7,100,1,0,0,high_directional_robustness
a_H1CO13_yesno,M6_final_parsimonious_model,37,37,100,6,0,0,high_directional_robustness
a_H1CO16A_yesno,M0_core_controls,3,2,66.67,0,1,1,moderate_directional_robustness
a_H1CO16A_yesno,M1_family_context,8,8,100,5,0,0,high_directional_robustness
a_H1CO16A_yesno,M3_knowledge_attitudes,17,16,94.12,8,1,1,moderate_directional_robustness
a_H1CO16A_yesno,M6_final_parsimonious_model,30,30,100,14,0,0,high_directional_robustness
a_H1CO16C_yesno,M0_core_controls,3,3,100,0,0,0,high_directional_robustness
a_H1CO16C_yesno,M1_family_context,4,4,100,0,1,0,high_directional_robustness
a_H1CO16C_yesno,M3_knowledge_attitudes,17,17,100,4,0,0,high_directional_robustness
a_H1CO16C_yesno,M6_final_parsimonious_model,30,30,100,3,0,0,high_directional_robustness
a_H1CO3_yesno,M0_core_controls,3,3,100,0,0,0,high_directional_robustness
a_H1CO3_yesno,M1_family_context,21,21,100,6,0,0,high_directional_robustness
a_H1CO3_yesno,M2_school_context,12,12,100,0,0,0,high_directional_robustness
a_H1CO3_yesno,M3_knowledge_attitudes,25,24,96,9,1,1,moderate_directional_robustness
a_H1CO3_yesno,M4_peers_relationships,7,7,100,2,0,0,high_directional_robustness
a_H1CO3_yesno,M6_final_parsimonious_model,55,53,96.36,10,0,2,moderate_directional_robustness
a_H1CO6_yesno,M0_core_controls,3,3,100,0,1,0,high_directional_robustness
a_H1CO6_yesno,M1_family_context,25,25,100,9,1,0,high_directional_robustness
a_H1CO6_yesno,M2_school_context,8,7,87.5,1,0,1,moderate_directional_robustness
a_H1CO6_yesno,M3_knowledge_attitudes,24,24,100,4,0,0,high_directional_robustness
a_H1CO6_yesno,M6_final_parsimonious_model,55,55,100,7,0,0,high_directional_robustness
a_H1CO8_yesno,M0_core_controls,3,3,100,1,0,0,high_directional_robustness
a_H1CO8_yesno,M1_family_context,14,14,100,2,0,0,high_directional_robustness
a_H1CO8_yesno,M3_knowledge_attitudes,23,22,95.65,1,1,1,moderate_directional_robustness
a_H1CO8_yesno,M6_final_parsimonious_model,42,42,100,4,0,0,high_directional_robustness
a_H1FP7_yesno,M0_core_controls,3,3,100,1,0,0,high_directional_robustness
a_H1FP7_yesno,M1_family_context,14,14,100,6,0,0,high_directional_robustness
a_H1FP7_yesno,M3_knowledge_attitudes,17,17,100,6,0,0,high_directional_robustness
a_H1FP7_yesno,M4_peers_relationships,7,7,100,2,0,0,high_directional_robustness
a_H1FP7_yesno,M6_final_parsimonious_model,44,44,100,9,0,0,high_directional_robustness
a_H1HS9_yesno,M0_core_controls,3,3,100,1,0,0,high_directional_robustness
a_H1HS9_yesno,M1_family_context,27,27,100,9,0,0,high_directional_robustness
a_H1HS9_yesno,M2_school_context,24,24,100,4,0,0,high_directional_robustness
a_H1HS9_yesno,M3_knowledge_attitudes,17,17,100,1,0,0,high_directional_robustness
a_H1HS9_yesno,M4_peers_relationships,7,6,85.71,1,1,1,moderate_directional_robustness
a_H1HS9_yesno,M6_final_parsimonious_model,45,40,88.89,1,0,5,moderate_directional_robustness
a_sex_ever,M0_core_controls,3,3,100,3,0,0,high_directional_robustness
a_sex_ever,M1_family_context,28,28,100,7,0,0,high_directional_robustness
a_sex_ever,M2_school_context,24,24,100,9,0,0,high_directional_robustness
a_sex_ever,M3_knowledge_attitudes,23,23,100,15,0,0,high_directional_robustness
a_sex_ever,M4_peers_relationships,15,15,100,9,0,0,high_directional_robustness
a_sex_ever,M6_final_parsimonious_model,49,48,97.96,18,1,1,moderate_directional_robustness
