sample,index,predictor,n_complete,beta,CI_low,CI_high,p_value,status,model_role,beta_text,CI_95,p_text,interpretation
Main sample: grades 10-12,ISX-inspired broad sexual protection index,"School connectedness/climate core index, standardized",3222,0.21004322794596758,0.1726506130974231,0.24743584279451206,1.0637422197400838e-27,fitted,primary,0.210,[0.173; 0.247],<0.001,Higher predictor values were associated with higher protection score.
Main sample: grades 10-12,ISX-inspired broad sexual protection index,"School adjustment/problem index, standardized",3222,-0.1904644861804334,-0.23179457575711937,-0.14913439660374744,2.827786550181893e-19,fitted,primary,-0.190,[-0.232; -0.149],<0.001,Higher predictor values were associated with lower protection score.
Main sample: grades 10-12,ISX-inspired broad sexual protection index,"School connectedness/climate extended index, standardized",3222,0.20593077578457075,0.16805637479861124,0.24380517677053026,4.3854496210088425e-26,fitted,sensitivity,0.206,[0.168; 0.244],<0.001,Higher predictor values were associated with higher protection score.
Main sample: grades 10-12,ISX-inspired protection index among sexually initiated respondents,"School connectedness/climate core index, standardized",1750,0.05671273721288045,0.023681095822893156,0.08974437860286774,7.815583464670846e-4,fitted,primary,0.057,[0.024; 0.090],<0.001,Higher predictor values were associated with higher protection score.
Main sample: grades 10-12,ISX-inspired protection index among sexually initiated respondents,"School adjustment/problem index, standardized",1750,-0.0743019174632943,-0.11066543284645178,-0.037938402080136824,6.465124938432767e-5,fitted,primary,-0.074,[-0.111; -0.038],<0.001,Higher predictor values were associated with lower protection score.
Main sample: grades 10-12,ISX-inspired protection index among sexually initiated respondents,"School connectedness/climate extended index, standardized",1750,0.06281144464623882,0.02959129910085774,0.0960315901916199,2.1721367229863805e-4,fitted,sensitivity,0.063,[0.030; 0.096],<0.001,Higher predictor values were associated with higher protection score.
Main sample: grades 10-12,Exploratory sexual and reproductive risk burden index,"School connectedness/climate core index, standardized",3225,-0.043328535971163144,-0.052027899849662114,-0.034629172092664175,3.3174544940019727e-22,fitted,primary,-0.043,[-0.052; -0.035],<0.001,Higher predictor values were associated with lower risk burden.
Main sample: grades 10-12,Exploratory sexual and reproductive risk burden index,"School adjustment/problem index, standardized",3225,0.0420337025258268,0.032605203036379586,0.05146220201527401,3.748802193508745e-18,fitted,primary,0.042,[0.033; 0.051],<0.001,Higher predictor values were associated with higher risk burden.
Main sample: grades 10-12,Exploratory sexual and reproductive risk burden index,"School connectedness/climate extended index, standardized",3225,-0.04323150059332918,-0.05187948194863038,-0.03458351923802797,2.348265171123901e-22,fitted,sensitivity,-0.043,[-0.052; -0.035],<0.001,Higher predictor values were associated with lower risk burden.
Restricted sensitivity sample: grades 10-12 and ages 15-19,ISX-inspired broad sexual protection index,"School connectedness/climate core index, standardized",3204,0.20987975980052714,0.17234995835094546,0.24740956125010882,1.801519092085487e-27,fitted,primary,0.210,[0.172; 0.247],<0.001,Higher predictor values were associated with higher protection score.
Restricted sensitivity sample: grades 10-12 and ages 15-19,ISX-inspired broad sexual protection index,"School adjustment/problem index, standardized",3204,-0.1906056327433952,-0.23198458436573083,-0.14922668112105958,2.9383453850783567e-19,fitted,primary,-0.191,[-0.232; -0.149],<0.001,Higher predictor values were associated with lower protection score.
Restricted sensitivity sample: grades 10-12 and ages 15-19,ISX-inspired broad sexual protection index,"School connectedness/climate extended index, standardized",3204,0.20467983765577513,0.16666883530968912,0.24269084000186114,1.2758541928667903e-25,fitted,sensitivity,0.205,[0.167; 0.243],<0.001,Higher predictor values were associated with higher protection score.
Restricted sensitivity sample: grades 10-12 and ages 15-19,ISX-inspired protection index among sexually initiated respondents,"School connectedness/climate core index, standardized",1739,0.05636665434571191,0.023088767224382918,0.0896445414670409,9.192330912980398e-4,fitted,primary,0.056,[0.023; 0.090],<0.001,Higher predictor values were associated with higher protection score.
Restricted sensitivity sample: grades 10-12 and ages 15-19,ISX-inspired protection index among sexually initiated respondents,"School adjustment/problem index, standardized",1739,-0.07615420442664018,-0.11262694995053871,-0.03968145890274167,4.464715439018068e-5,fitted,primary,-0.076,[-0.113; -0.040],<0.001,Higher predictor values were associated with lower protection score.
Restricted sensitivity sample: grades 10-12 and ages 15-19,ISX-inspired protection index among sexually initiated respondents,"School connectedness/climate extended index, standardized",1739,0.062242425223870204,0.028783303298338163,0.09570154714940224,2.741117327007289e-4,fitted,sensitivity,0.062,[0.029; 0.096],<0.001,Higher predictor values were associated with higher protection score.
Restricted sensitivity sample: grades 10-12 and ages 15-19,Exploratory sexual and reproductive risk burden index,"School connectedness/climate core index, standardized",3207,-0.04322239972347519,-0.0519417923805204,-0.03450300706642998,5.182976609115054e-22,fitted,primary,-0.043,[-0.052; -0.035],<0.001,Higher predictor values were associated with lower risk burden.
Restricted sensitivity sample: grades 10-12 and ages 15-19,Exploratory sexual and reproductive risk burden index,"School adjustment/problem index, standardized",3207,0.04213880444023649,0.03270179385444263,0.05157581502603035,3.3311465515067145e-18,fitted,primary,0.042,[0.033; 0.052],<0.001,Higher predictor values were associated with higher risk burden.
Restricted sensitivity sample: grades 10-12 and ages 15-19,Exploratory sexual and reproductive risk burden index,"School connectedness/climate extended index, standardized",3207,-0.0428677553714413,-0.05154313289451572,-0.03419237784836689,6.951285581232428e-22,fitted,sensitivity,-0.043,[-0.052; -0.034],<0.001,Higher predictor values were associated with lower risk burden.
